Title,Release_Year
Sibling Rivalry,1990
Laws of Attraction,2004
Drive Me Crazy,1999
Honeysuckle Rose,1980
The Boston Strangler,1968
School for Scoundrels,2006
Going the Distance,2010
The Contender,2000
For Whom the Bell Tolls,1943
Punch-Drunk Love,2002
Bad Santa 2,2016
Bears,2014
Halloween 4: The Return of Michael Myers,1988
Steve Jobs,2015
Born Yesterday,1993
The Rage: Carrie 2,1999
The Perks of Being a Wallflower,2012
Mr. Holmes,2015
The Big Green,1995
Eurotrip,2004
The Betsy,1978
Apollo 18,2011
The Big Easy,1987
For the Boys,1991
Heavy Weights,1995
Kit Kittredge: An American Girl,2008
Nebraska,2013
The Postman,1997
That Touch of Mink,1962
CB4,1993
Frantic,1988
Furry Vengeance,2010
Parker,2013
Max Dugan Returns,1983
The Last King of Scotland,2006
Alice Doesn't Live Here Anymore,1975
A Mighty Wind,2003
Eye of the Needle,1981
Deliver Us From Eva,2003
Cat on a Hot Tin Roof,1958
Take This Job and Shove It,1981
Enough Said,2013
Wait Until Dark,1967
Hostel: Part II,2007
Hot Dog… The Movie,1984
Invasion U.S.A.,1985
Silent Hill: Revelation 3D,2012
Lassiter,1984
Notes on a Scandal,2006
Disturbing Behavior,1998
Dope,2015
Empire,2002
Johnny Be Good,1988
The Big Lebowski,1998
Beneath the Planet of the Apes,1970
Angel,1984
White Palace,1990
Red Planet,2000
Home for the Holidays,1995
Ragtime,1981
My Favorite Year,1982
The Zookeeper’s Wife,2017
The Ruins,2008
Dark Skies,2013
Half Baked,1998
Addicted,2014
Roll Bounce,2005
Extreme Measures,1996
Masterminds,2016
Born in East L.A.,1987
Masters of the Universe,1987
A Haunted House 2,2014
Just My Luck,2006
My Baby's Daddy,2004
To Live and Die in L.A.,1985
Inkheart,2009
Murder in the First,1995
Max Keeble's Big Move,2001
Wanderlust,2012
Shenandoah,1965
Eight Legged Freaks,2002
Small Time Crooks,2000
A Bronx Tale,1993
A Most Wanted Man,2014
Fired Up,2009
Seventh Son,2015
The Phantom,1996
Hudson Hawk,1991
The Mission,1986
Center Stage,2000
All the Right Moves,1983
Miracle on 34th Street,1994
Her Alibi,1989
Fled,1996
Angel Heart,1987
Eastern Promises,2007
Sidekicks,1993
Safe,2012
The Falcon and the Snowman,1985
Annapolis,2006
Johnny Dangerously,1984
The NeverEnding Story II: The Next Chapter,1991
Von Ryan's Express,1965
The Valachi Papers,1972
Rushmore,1998
Kung Fu Hustle,2005
Diabolique,1996
Ghosts of the Abyss,2003
Pet Sematary II,1992
The Babe,1992
Norm of the North,2016
Pokemon 3: The Movie,2001
The Devil's Rejects,2005
Freejack,1992
Son of the Mask,2005
The Hurt Locker,2009
Seed of Chucky,2004
Splice,2010
The Delta Force,1986
For Keeps?,1988
Herbie Goes Bananas,1980
Kingdom of the Spiders,1977
W.W. and the Dixie Dancekings,1975
Which Way Is Up?,1977
Rock Star,2001
The Country Bears,2002
Win a Date with Tad Hamilton!,2004
The Counselor,2013
Boiler Room,2000
Jury Duty,1995
Lover Come Back,1961
Adrenaline Rush: The Science of Risk,2002
88 Minutes,2008
Serving Sara,2002
crazy/beautiful,2001
The Thing,2011
Looking for Mr. Goodbar,1977
Sounder,1972
Go!,1999
Georgy Girl,1966
Wimbledon,2004
Lightning Jack,1994
Rebound,2005
A Touch of Class,1973
Valley Girl,1983
Lost Souls,2000
Andre,1994
54,1998
The Motorcycle Diaries,2004
New in Town,2009
Catch That Kid,2004
To Rome with Love,2012
True Crime,1999
Blink,1994
Tremors,1990
Rough Cut,1980
Unaccompanied Minors,2006
The Final Countdown,1980
The Hunter,1980
Bringing Out The Dead,1999
Deep Cover,1992
Wild Safari 3D,2005
Beat Street,1984
Baby's Day Out,1994
Dead Silence,2007
My Girl 2,1994
Shocker,1989
The Frighteners,1996
National Lampoon's Class Reunion,1982
The Perfect Man,2005
The Life and Times of Judge Roy Bean,1972
Original Sin,2001
Krull,1983
Trainspotting,1996
Eye of the Beholder,2000
The War,1994
Heart and Souls,1993
Terminal Velocity,1994
Spacehunter: Adventures in the Forbidden Zone,1983
Monkey Kingdom,2015
That Old Feeling,1997
Candy,1968
A Change of Seasons,1980
Sergeant York,1941
The Hitcher,2007
Defending Your Life,1991
White Oleander,2002
Monkey Trouble,1994
Burglar,1987
Tales from the Darkside: The Movie,1990
The Whole Ten Yards,2004
MacArthur,1977
The Silencers,1966
A Simple Plan,1998
Weird Science,1985
Young Adult,2011
Muppets From Space,1999
Going My Way,1944
An American Haunting,2006
Howard the Duck,1986
Swing Vote,2008
Elizabeth: The Golden Age,2007
Supercop,1996
Crossing Delancey,1988
21 Grams,2003
The Master,2012
Black Christmas,2006
Cool Hand Luke,1967
Raw Deal,1986
Follow Me Boys,1966
Jennifer's Body,2009
Ghost Story,1981
Wolf Creek,2005
Begin Again,2014
Richard Pryor Here and Now,1983
Mo' Better Blues,1990
The Blue Max,1966
Men At Work,1990
Fire Down Below,1997
The Guardian,1990
D.C. Cab,1983
Jobs,2013
Waiting...,2005
Vanity Fair,2004
Imagine That,2009
"Bright Lights, Big City",1988
Death Wish 3,1985
Prancer,1989
Death Wish II,1982
Fruitvale Station,2013
No Holds Barred,1989
The Prophecy,1995
A Midsummer Night's Dream,1999
Dr. No,1963
Over the Top,1987
The Day of the Jackal,1973
Adventureland,2009
Kung Pow: Enter the Fist,2002
She's Having a Baby,1988
Devil in a Blue Dress,1995
The Transporter Refueled,2015
Above the Rim,1994
O (Othello),2001
Across The Sea of Time,1995
The Raven,2012
Confessions of a Dangerous Mind,2002
Breakout,1975
The Devil and Max Devlin,1981
Forever Amber,1947
Missing,1982
Mom and Dad,1945
Our Man Flint,1965
Sinbad and the Eye of the Tiger,1977
Tyler Perry's The Single Moms Club,2014
Armored,2009
Caveman,1981
Marie Antoinette,2006
Armed and Dangerous,1986
Next of Kin,1989
Chances Are,1989
Jason Goes to Hell: The Final Friday,1993
Hero At Large,1980
Dance With Me,1998
Thomas and the Magic Railroad,2000
Far From Heaven,2002
Gorky Park,1983
The Birth of a Nation,2016
Masquerade,1988
Happily N'Ever After,2007
Devil's Due,2014
The Kite Runner,2007
Eddie the Eagle,2016
Kiss Me Goodbye,1982
The Gospel,2005
Pride and Glory,2008
3000 Miles to Graceland,2001
Jaws 4: The Revenge,1987
Wes Craven's Wishmaster,1997
The Island,1980
Paparazzi,2004
Avalon,1990
High Plains Drifter,1973
The Lion King (IMAX),2002
Larry the Cable Guy: Health Inspector,2006
Life as a House,2001
The Man with the Iron Fists,2012
Cirque du Soleil - Journey of Man,2000
View from the Top,2003
I Love You to Death,1990
Continental Divide,1981
Half Past Dead,2002
Billy Bathgate,1991
Shackleton's Antarctic Adventure,2001
My Boss's Daughter,2003
Switch,1991
The Getaway,1994
A Guy Thing,2003
Still Smokin,1983
The Ghost Writer,2010
The Wild Angels,1966
In America,2003
Revenge,1990
All the Pretty Horses,2000
A Perfect Getaway,2009
Legend,1986
Corvette Summer,1978
The Greatest Story Ever Told,1965
Loser,2000
Youngblood,1986
Rocket Man,1997
Mad Love,1995
Reversal of Fortune,1990
The Infiltrator,2016
Catch and Release,2007
The Bonfire of the Vanities,1990
African Cats,2011
Drowning Mona,2000
Wrong Turn,2003
Death Warrant,1990
The Adventures of Pinocchio,1996
Mr. Destiny,1990
Leviathan,1989
She-Devil,1989
No Escape,1994
The Greatest Game Ever Played,2005
Bait,2000
About Time,2013
Alpha Dog,2007
Welcome Stranger,1947
Bangkok Dangerous,2008
Youth in Revolt,2010
Quick Change,1990
Benji the Hunted,1987
Sweet Sweetback's Baad Asssss Song,1971
First Family,1980
The Long Riders,1980
Bad Girls,1994
Needful Things,1993
Dungeons and Dragons,2000
Muriel's Wedding,1995
The Last Exorcism Part II,2013
Thinner,1996
The Corruptor,1999
And So It Goes,2014
Firestarter,1984
Arthur et les Minimoys,2007
Halloween:  The Curse of Michael Myers,1995
"The Goods: Live Hard, Sell Hard",2009
The Madness of King George,1994
Big Top Pee-Wee,1988
Gake no ue no Ponyo,2009
The Invasion,2007
Toy Soldiers,1991
American Psycho,2000
Dead Man on Campus,1998
King Solomon's Mines,1985
Wings of Courage,1995
Twilight,1998
The Box,2009
See No Evil,2006
Zapped!,1982
Haakon Haakonsen,1991
Seven Psychopaths,2012
Judy Moody and the Not Bummer Summer,2011
Madonna: Truth or Dare,1991
The Cave,2005
Breakin' 2: Electric Boogaloo,1984
The Egyptian,1954
The Front Page,1974
The Kentucky Fried Movie,1977
"Mother, Jugs & Speed",1976
Spaced Invaders,1990
The V.I.P.s,1963
Pete 'n' Tillie,1972
Lions for Lambs,2007
The Next Best Thing,2000
Solaris,2002
Get Carter,2000
The Music Man,1962
Killing Them Softly,2012
Election,1999
Kiss of Death,1995
The Meaning of Life,1983
Keeping Up with the Joneses,2016
Step Up All In,2014
Last Chance Harvey,2008
S.O.B.,1981
Flirting with Disaster,1996
Once Around,1991
Music of the Heart,1999
Pink Floyd: The Wall,1982
Eve's Bayou,1997
All I Want For Christmas,1991
"I Love You, Beth Cooper",2009
Ladybugs,1992
Prom Night,1980
Threesome,1994
Radio Days,1987
Not Without My Daughter,1991
A Kiss Before Dying,1991
The Sixth Man,1997
Fire Birds,1990
My Soul to Take,2010
Tristan & Isolde,2006
Orca,1977
Indian Summer,1993
School Ties,1992
Criminal,2016
Educating Rita,1983
Iron Monkey,2001
Arthur 2: On the Rocks,1988
The Case for Christ,2017
Room,2015
The Substitute,1996
It Follows,2015
The Nude Bomb,1980
Winning,1969
Soldier,1998
Beyond the Lights,2014
Jackie Chan’s First Strike,1997
Children of the Corn,1984
Night of the Comet,1984
Nighthawks,1981
My Week with Marilyn,2011
The Girl Next Door,2004
Kiss of the Spider Woman,1985
Hellraiser,1987
Wild at Heart,1990
Willard,1971
School Daze,1988
Fly Me To the Moon,2008
The Vanishing,1993
Kickboxer,1989
Everyone's Hero,2006
"Oh, God! Book II",1980
McLintock!,1963
King of Kings,1961
Big Eyes,2014
Psycho III,1986
In Love and War,1996
Flight of the Intruder,1991
Welcome to Mooseport,2004
"Life, or Something Like It",2002
To the Arctic 3D,2012
America: Imagine a World Without Her,2014
American Ultra,2015
Dark City,1998
The Edge of Seventeen,2016
Hollywoodland,2006
The Chamber,1996
Halloween 3: Season of the Witch,1982
Trapeze,1956
Tea with Mussolini,1999
Woodlawn,2015
Remo Williams: The Adventure Begins,1985
Snow Falling on Cedars,1999
Ishtar,1987
Awake,2007
City of Joy,1992
The Buddy Holly Story,1978
Capitalism: A Love Story,2009
Memoirs of an Invisible Man,1992
Rapid Fire,1992
Excess Baggage,1997
Friday the 13th Part VIII: Jason Takes Manhattan,1989
Godsend,2004
Lockout,2012
The Mosquito Coast,1986
Blue Skies,1946
Grease 2,1982
Supergirl,1984
Ballistic: Ecks vs. Sever,2002
Z,1969
Amelia,2009
The Wizard,1989
Baby: Secret of the Lost Legend,1985
The Messenger: The Story of Joan of Arc,1999
Josie and the Pussycats,2001
Child's Play 3,1991
Freddy Got Fingered,2001
The Return of the Living Dead,1985
Buffy the Vampire Slayer,1992
Supernova,2000
Alex & Emma,2003
Sweet Liberty,1986
A Chorus Line,1985
The Eiger Sanction,1975
Scanners,1981
Disaster Movie,2008
Highlander II: The Quickening,1991
Prince of Darkness,1987
Wholly Moses!,1980
Ernest Scared Stupid,1991
The Hospital,1971
Havana Nights: Dirty Dancing 2,2004
Spring Breakers,2013
Poltergeist III,1988
Cool World,1992
How to Deal,2003
Maximum Risk,1996
Tomboy,1985
Blues Brothers 2000,1998
The Perfect Weapon,1991
The Emperor's Club,2002
Fairytale: A True Story,1997
Private School,1983
Cirque du Freak: The Vampire's Assistant,2009
My Left Foot: The Story of Christy Brown,1989
The Arrival,1996
In Too Deep,1999
Left Behind,2014
New York Minute,2004
The Good Girl,2002
Love & Friendship,2016
What's Your Number?,2011
Virus,1999
Def Jam's How To Be a Player,1997
The Bad News Bears Go To Japan,1978
Charlie and the Chocolate Factory (IMAX),2005
Creepshow 2,1987
David and Bathsheba,1951
Flowers in the Attic,1987
The Greek Tycoon,1978
Un homme et une femme,1966
Imitation of Life,1959
The Missouri Breaks,1976
The Night the Lights Went Out in Georgia,1981
The Survivors,1983
The Thomas Crown Affair,1968
Stand and Deliver,1988
The Sterile Cuckoo,1969
Stealing Harvard,2002
Sesame Street Presents Follow That Bird,1985
Jackie,2016
The Commitments,1991
Repo Men,2010
Hot Rod,2007
Firehouse Dog,2007
Soul Plane,2004
Candyman: Farewell to Flesh,1995
Out Cold,2001
Les Miserables,1998
Monsoon Wedding,2002
Born in China,2017
My Stepmother Is an Alien,1988
The Duchess,2008
One Day,2011
Hamburger Hill,1987
The Milagro Beanfield War,1988
It Comes at Night,2017
Lord of the Flies,1990
The Man Who Knew Too Little,1997
Leave Her to Heaven,1945
"New York, New York",1977
The Long Walk Home,1990
The Thing,1982
Sin City: A Dame to Kill For,2014
Letters from Iwo Jima,2006
Hit & Run,2012
Blow Out,1981
Trespass,1992
Drop Dead Fred,1991
Broken Flowers,2005
Highlander III: The Sorcerer,1995
Body of Evidence,1993
The Wings of the Dove,1997
Great Balls of Fire!,1989
The Sandpiper,1965
Return to Snowy River,1988
Hey Arnold! The Movie,2002
Crank 2: High Voltage,2009
Mutiny on The Bounty,1962
Desperate Measures,1998
Nixon,1995
Vice Versa,1988
Warrior,2011
Burnt,2015
Haunted Castle,2001
Y Tu Mamá También,2002
The Namesake,2007
The Crush,1993
Trial And Error,1997
Osmosis Jones,2001
The Ladies Man,2000
Hush,1998
Juwanna Mann,2002
Tomcats,2001
The Little Vampire,2000
Envy,2004
Shaun of the Dead,2004
The Deep End of the Ocean,1999
Mrs. Miniver,1942
The Stewardesses,1969
Tailor of Panama,2001
Africa's Elephant Kingdom,1998
Charade,1963
The Haunting of Molly Hartley,2008
One Crazy Summer,1986
Extremities,1986
Secrets & Lies,1996
Dredd,2012
A Kid in King Arthur's Court,1995
The Legend of the Lone Ranger,1981
One Night with the King,2006
Alfie,2004
Bullets Over Broadway,1994
Clue,1985
Labor Day,2014
Friends with Money,2006
Mr. Saturday Night,1992
The Comebacks,2007
De-Lovely,2004
The Sons of Katie Elder,1965
The Tree of Life,2011
Koneko monogatari,1989
Bio-Dome,1996
The Pick-Up Artist,1987
The Entity,1983
Sugar and Spice,2001
North by Northwest,1959
American Outlaws,2001
Case 39,2010
The Mod Squad,1999
Ghost Town,2008
Lord of Illusions,1995
Inside Llewyn Davis,2013
Daddy Day Camp,2007
One Magic Christmas,1985
Class Act,1992
FearDotCom,2002
Crazy People,1990
Enchanted April,1992
Family Plot,1976
Les Intouchables,2012
Critters,1986
Greedy,1994
To Kill A Mockingbird,1962
Bye Bye Birdie,1963
Jason X,2002
Author! Author!,1982
The Incubus,1982
Frailty,2002
The Rum Diary,2011
Senseless,1998
Rosewood,1997
Playing for Keeps,2012
The Evil That Men Do,1984
Hair,1979
Hillary’s America: The Secret History of the …,2016
Whiplash,2014
Flyboys,2006
25th Hour,2002
The Ice Pirates,1984
Dr. T and the Women,2000
Ghosts of Mississippi,1996
Whip It,2009
How to Eat Fried Worms,2006
Angela's Ashes,1999
To Be or Not to Be,1983
I'm Gonna Git You Sucka,1988
Crooklyn,1994
The Crew,2000
Religulous,2008
House of Sand and Fog,2003
Wicker Park,2004
The Competition,1980
The Concorde: Airport '79,1979
The Gate,1987
Hopscotch,1980
In Cold Blood,1967
Middle Age Crazy,1980
On the Right Track,1981
Rich and Famous,1981
The Snows of Kilimanjaro,1952
Stroker Ace,1983
They Live,1988
Time After Time,1979
Torn Curtain,1966
Vision Quest,1985
The Wiz,1978
Clockers,1995
The Quiet American,2002
Do You Believe?,2015
The Pirates Who Don't Do Anything: A VeggieTale…,2008
Man's Best Friend,1993
Lone Star,1996
Real Genius,1985
April Fool's Day,1986
They Call Me Bruce,1982
Hatari!,1962
Perfect,1985
Living Out Loud,1998
Sgt. Pepper's Lonely Hearts Club Band,1978
Volver,2006
U2 3D,2008
A Far Off Place,1993
Gods and Generals,2003
Black Dog,1998
The Grifters,1990
Wes Craven Presents: They,2002
The Last Married Couple in America,1980
The Honeymooners,2005
Megan Leavey,2017
Anna Karenina,2012
Mr. Wrong,1996
Marvin's Room,1996
Highlander: Endgame,2000
Meet Me in St. Louis,1944
The Nun's Story,1959
Rachel Getting Married,2008
Shoot 'Em Up,2007
Beasts of the Southern Wild,2012
Mystic Pizza,1988
The Founder,2017
I Heart Huckabees,2004
The Associate,1996
The Evening Star,1996
Män som hatar kvinnor,2009
Weekend at Bernie's II,1993
Silent House,2012
Labyrinth,1986
Mr. Nice Guy,1998
The New World,2005
Carol,2015
Come September,1961
D.O.A.,1988
Come Blow Your Horn,1963
"Move Over, Darling",1963
"Bon Cop, Bad Cop",2006
Idlewild,2006
The Bedroom Window,1987
Triple 9,2016
Everybody’s All-American,1988
"House of 1,000 Corpses",2003
Bad Influence,1990
The Omega Code,1999
Winter's Tale,2014
Frenzy,1972
"They Shoot Horses, Don't They?",1969
Diner,1982
The Spitfire Grill,1996
La misma luna,2008
The Matador,2005
Visiting Hours,1982
An Education,2009
I Think I Love My Wife,2007
Love Jones,1997
Love & Mercy,2015
The Light Between Oceans,2016
Gattaca,1997
Hellraiser III: Hell on Earth,1992
Freedomland,2006
Cirque du Soleil: Worlds Away,2012
Klute,1971
Why Do Fools Fall In Love?,1998
Hak hap,1999
Father Goose,1964
The Song of Bernadette,1943
War and Peace,1956
The Weather Man,2005
Extraordinary Measures,2010
Extreme,1999
The Marrying Man,1991
People Like Us,2012
Strange Magic,2015
The Fourth Protocol,1987
Undercover Blues,1993
Monsignor,1982
Evening,2007
Irreconcilable Differences,1984
Undisputed,2002
Less than Zero,1987
Dangal,2016
The Andromeda Strain,1971
Ready to Rumble,2000
A Shot in the Dark,1964
Life With Mikey,1993
Hot Tub Time Machine 2,2015
Miss Pettigrew Lives for a Day,2008
Club Paradise,1986
No Mercy,1986
Enemy Mine,1985
Escape from the Planet of the Apes,1971
A Stranger Among Us,1992
True Romance,1993
Self/Less,2015
Casual Sex?,1988
Before I Fall,2017
Far from the Madding Crowd,2015
12 Rounds,2009
Lone Wolf McQuade,1983
Breakin' All the Rules,2004
The 33,2015
I'll Be Home For Christmas,1998
Confidence,2003
Back to the Beach,1987
Hideaway,1995
The Postman Always Rings Twice,1981
True Confessions,1981
Chasing Liberty,2004
Saving Grace,2000
Pink Cadillac,1989
Let Me In,2010
Little Big League,1994
Shaft,1971
Dreamscape,1984
Judgment Night,1993
Foxcatcher,2014
Soul Men,2008
Roommates,1995
Bye Bye Love,1995
Holy Man,1998
Help!,1965
She's Out of Control,1989
The King and I,1999
Sunshine Cleaning,2009
The Last Stand,2013
Fatal Beauty,1987
Tom yum goong,2006
The Pagemaster,1994
In Dreams,1999
The Gift,2000
Big Night,1996
Chasing Amy,1997
Bandolero!,1968
The Big Fix,1978
The Changeling,1980
Divorce American Style,1967
Fantastic Voyage,1966
First Monday in October,1981
Frankenstein,1931
French Connection II,1975
The Frisco Kid,1979
Gentlemen Prefer Blondes,1953
Harper,1966
Hombre,1967
How to Murder Your Wife,1965
Night of the Living Dead,1968
The Other Side of the Mountain Part II,1978
Physical Evidence,1989
The Postman Always Rings Twice,1946
Race with the Devil,1975
The Sea Chase,1955
Sorcerer,1977
The Tall Men,1955
Tall Story,1960
Zoom,2006
Nuovo cinema Paradiso,1990
Sorority Row,2009
Brighton Beach Memoirs,1986
Sliding Doors,1998
The Darjeeling Limited,2007
Making Love,1982
Sydney White,2007
Glee: The 3D Concert Movie,2011
Firewalker,1986
Year of the Gun,1991
The Thirteenth Floor,1999
Back Roads,1981
Bloodsport,1988
Meet Dave,2008
Yankee Doodle Dandy,1942
Zelig,1983
Caddyshack II,1988
Tales from the Hood,1995
The Thrill of it All,1963
Gunfight at the O.K. Corral,1957
End of the Spear,2006
3 Ninjas Kick Back,1994
The Great Escape,1963
Strictly Ballroom,1993
The Lords of Discipline,1983
Dave Chappelle's Block Party,2006
Used Cars,1980
Up the Creek,1984
Winged Migration,2003
Fifty Shades of Black,2016
Gone,2012
Knockaround Guys,2002
Rock-a-Doodle,1992
Halloween 5: The Revenge of Michael Myers,1989
The Adventures of Elmo in Grouchland,1999
Girl with a Pearl Earring,2003
The Muse,1999
The Last Kiss,2006
Hellraiser II: Hellbound,1988
Lifeforce,1985
Finian’s Rainbow,1968
So I Married an Axe Murderer,1993
Graveyard Shift,1990
Wing Commander,1999
Police Academy 6: City Under Siege,1989
Get Over It,2001
The Legend of Drunken Master,2000
Pump Up the Volume,1990
Boys Don't Cry,1999
The Cookout,2004
The Conspirator,2011
Young Einstein,1989
Turbulence,1997
Super Size Me,2004
No Manches Frida,2016
The Longshots,2008
Shattered,1991
Alaska,1996
Mulholland Falls,1996
Army of Darkness,1993
Galapagos,1955
Fair Game,1995
The Words,2012
Das Boot,1982
The Beautician and the Beast,1997
Something New,2006
Material Girls,2006
Moon Over Parador,1988
The Powerpuff Girls,2002
The Shipping News,2001
The Birds,1963
Far from Home: The Adventures of Yellow Dog,1995
Just One of the Guys,1985
Thumbelina,1994
Unforgettable,2017
Cops and Robbersons,1994
Opportunity Knocks,1990
Gross Anatomy,1989
The Man Who Knew Too Much,1956
Manhattan Murder Mystery,1993
Out of the Furnace,2013
Double Team,1997
Amityville II: The Possession,1982
The Ref,1994
American Me,1992
Extreme Prejudice,1987
Leave It To Beaver,1997
Casanova,2005
Prêt-à-Porter,1994
Who's the Man?,1993
Das Leben der Anderen,2007
Jennifer Eight,1992
One Good Cop,1991
The Lords of Dogtown,2005
Balto,1995
Chill Factor,1999
Cyberworld 3D,2000
Bobby,2006
Jane Eyre,2011
La flûte à six schtroumpfs,1983
Superman IV: The Quest for Peace,1987
Q & A,1990
Deep Rising,1998
Surviving Christmas,2004
What a Way to Go!,1964
Be Kind Rewind,2008
King Solomon's Mines,1950
The Cardinal,1963
Barney's Great Adventure,1998
Tank,1984
V.I. Warshawski,1991
Whispers in the Dark,1992
The Danish Girl,2015
Café Society,2016
2 Days In The Valley,1996
Big Trouble in Little China,1986
Please Don't Eat the Daisies,1960
Michael Collins,1996
My Family,1995
Gypsy,1962
The Unsinkable Molly Brown,1964
"The Adventures of Priscilla, Queen of the Desert",1994
Family Business,1989
In the Land of Women,2007
Krush Groove,1985
House of Flying Daggers,2004
Mrs. Henderson Presents,2005
Henry & June,1990
Doomsday,2008
The Couch Trip,1988
The Astronaut Farmer,2007
The Young Victoria,2009
The Super,1991
American Hot Wax,1978
The Big Parade,1925
Bite the Bullet,1975
Cold Turkey,1971
A Farewell To Arms,1957
Gator,1976
The Golden Voyage of Sinbad,1974
Hangar 18,1980
A Hole in the Head,1959
In Like Flint,1967
It's My Turn,1980
The Last Flight of Noah’s Ark,1980
The Lost Weekend,1945
The Man Who Loved Women,1983
The Mirror Crack'd,1980
On the Beach,1959
Raggedy Man,1981
Show Boat,1951
Solomon and Sheba,1959
Tom Sawyer,1930
Wild Orchid,1990
Wolfen,1981
Career Opportunities,1991
Who's Harry Crumb?,1989
D-War,2007
Antitrust,2001
Nuns on the Run,1990
What the #$'! Do We Know,2004
Le pacte des loups,2001
Cookie's Fortune,1999
Stop-Loss,2008
Pride and Prejudice and Zombies,2016
"The Englishman Who Went Up a Hill, But Came Dow…",1995
Dead Man Down,2013
The Pink Panther,1964
The Man in the Gray Flannel Suit,1956
Narrow Margin,1990
Victory,1981
Office Space,1999
Extract,2009
Moving,1988
Silver Bullet,1985
New York Stories,1989
Missing in Action 2: The Beginning,1985
The Darkness,2016
The Beastmaster,1982
The African Queen,1951
Flower Drum Song,1961
Stay Tuned,1992
Gettysburg,1993
Belle,2014
Glengarry Glen Ross,1992
The Drop,2014
Drive Angry,2011
Abandon,2002
For Love or Money,1993
Pure Country,1992
The Fiendish Plot of Dr. Fu Manchu,1980
RoboCop 3,1993
Mad Dog and Glory,1993
Deconstructing Harry,1997
Island of Lemurs: Madagascar,2014
Fear and Loathing in Las Vegas,1998
The Astronaut's Wife,1999
The Gunman,2015
Nocturnal Animals,2016
Dracula: Dead and Loving It,1995
The End of the Affair,1999
Island of the Sharks,1999
The Package,1989
De père en flic,2009
The Purple Rose of Cairo,1985
Return to Oz,1985
P.K.,2014
Happy Birthday To Me,1981
After Hours,1985
Broadway Danny Rose,1984
Compromising Positions,1985
Falling in Love,1984
Moving Violations,1985
Play Misty for Me,1971
Primeval,2007
Not Easily Broken,2009
Drop Dead Gorgeous,1999
Three to Tango,1999
Mad City,1997
Husbands and Wives,1992
We're No Angels,1989
Jonah Hex,2010
Magic in the Moonlight,2014
Where the Boys Are '84,1984
Scoop,2006
Beautiful Girls,1996
Wish Upon,2017
Home Fries,1998
Sabotage,2014
Getaway,2013
American Ninja,1985
Here on Earth,2000
Two if by Sea,1996
Silent Rage,1982
Light of Day,1987
Narc,2002
Casablanca,1943
Operation Condor,1997
Universal Soldier II: The Return,1999
Camp Nowhere,1994
Blue Hawaii,1961
A Rage in Harlem,1991
Interiors,1978
Moms’ Night Out,2014
The Brothers McMullen,1995
Raise Your Voice,2004
Roving Mars,2006
Deal of the Century,1983
Doctor Detroit,1983
Elmer Gantry,1960
The High and the Mighty,1954
Moby Dick,1956
Thief of Hearts,1984
Head Over Heels,2001
Stardust Memories,1980
The Perfect Score,2004
Live by Night,2016
The Witches,1990
The Scarlet Letter,1995
The Man with Two Brains,1983
The Newton Boys,1998
Pandorum,2009
Revenge of the Ninja,1983
Straw Dogs,2011
Knock Off,1998
I Got the Hook-Up!,1998
La Môme,2007
Better Off Dead...,1985
Shopgirl,2005
Someone to Watch Over Me,1987
Whiteout,2009
The Boondock Saints 2: All Saints Day,2009
Santa vs. The Snowman,2002
The Beguiled,2017
Pathfinder,2007
White Squall,1996
In the Mix,2005
Unfinished Business,2015
Babes in Toyland,1961
Rollover,1981
Kinsey,2004
I'll Do Anything,1994
The House of the Dead,2003
Sorority Boys,2002
You So Crazy,1994
Win Win,2011
Facing the Giants,2006
Look Who's Talking Now,1993
Domino,2005
The Belko Experiment,2017
The Great Raid,2005
The Spanish Prisoner,1998
Henry V,1989
Bats,1999
The Fountain,2006
Hoodwinked Too: Hood vs. Evil,2011
Lovesick,1983
The Secret of Nimh,1982
The Walk,2015
Father of the Bride,1950
Prom,2011
Swimming Pool,2003
Sunset Park,1996
Brokedown Palace,1999
Possession,2002
The Wash,2001
With Six You Get Eggroll,1968
Air Bud: Golden Receiver,1998
Under the Cherry Moon,1986
Pulse: A Stomp Odyssey,2002
Lost in America,1985
Shakedown,1988
Buddy,1997
Boiling Point,1993
Sen to Chihiro no Kamikakushi,2002
Cry Wolf,2005
Mrs. Winterbourne,1996
Godzilla 2000,2000
Cyborg,1989
Next Day Air,2009
The Lady in the Van,2016
Dirty Work,1998
Le Violon rouge,1999
Cutthroat Island,1995
A Little Princess,1995
Lucky Numbers,2000
Penelope,2008
Bratz,2007
The Unbearable Lightness of Being,1988
The Two Jakes,1990
55 Days at Peking,1963
Across 110th Street,1972
The Ambushers,1968
Atlantic City,1980
The Big Country,1958
The Big Doll House,1971
The Birth of a Nation,1915
California Split,1974
Disorderlies,1987
The Dolly Sisters,1945
Gilda,1946
The Hollywood Knights,1980
Hud,1963
Iron Eagle II,1988
Journey to the Center of the Earth,1959
Judgment at Nuremberg,1961
King Kong,1933
The Last Detail,1973
Love Is a Many-Splendored Thing,1955
Maniac,1980
Margie,1946
Mother Wore Tights,1947
Shaft's Big Score,1972
The Singing Fool,1928
The Snake Pit,1948
So Fine,1981
State Fair,1945
The Swarm,1978
Up the Academy,1980
"Zorro, The Gay Blade",1981
Fanny,1961
Return to Peyton Place,1961
A Family Thing,1996
Very Bad Things,1998
Murphy's Law,1986
Lassie,1994
Brazil,1985
Once Bitten,1985
Night Falls On Manhattan,1997
